"UserId","cluster_stage1","cluster_stage2","cluster_stage3","gender","majorClass","isPassExam"
"2015210369","1","1","1","2","2","0"
"2015210370","5","5","3","2","2","0"
"2015210371","1","2","2","2","2","0"
"2015210372","1","1","1","2","2","1"
"2015210374","1","5","5","1","2","0"
"2015210375","1","1","5","2","2","1"
"2015210377","2","1","3","2","2","0"
"2015210378","5","5","5","2","2","0"
"2015210379","7","4","3","2","2","0"
"2015210380","5","2","5","2","2","0"
"2015210382","1","3","1","2","2","0"
"2015210383","2","2","1","2","2","1"
"2015210384","3","5","1","2","1","0"
"2015210385","3","1","1","2","2","0"
"2015210386","1","1","1","2","2","0"
"2015210387","5","5","1","2","2","1"
"2015210388","2","1","5","1","2","0"
"2015210389","1","1","1","2","2","0"
"2015210391","3","3","7","2","2","1"
"2015210392","5","2","5","2","2","0"
"2015210393","5","5","3","1","2","1"
"2015210394","1","4","1","1","2","1"
"2015210395","5","5","5","1","2","0"
"2015210397","4","3","1","2","2","0"
"2015210398","1","1","1","2","2","0"
"2015210400","1","2","5","1","2","0"
"2015210401","2","2","2","2","2","0"
"2015210451","5","1","5","2","1","0"
"2015210453","1","2","1","2","1","0"
"2015210456","5","2","5","2","1","0"
"2015210457","5","1","6","2","1","1"
"2015210458","1","1","1","1","1","0"
"2015210459","5","4","7","2","1","0"
"2015210460","1","3","7","2","1","0"
"2015210461","5","1","5","2","1","0"
"2015210462","1","3","3","2","1","0"
"2015210465","1","1","2","2","1","1"
"2015210466","5","1","1","1","1","0"
"2015210467","5","3","1","2","1","0"
"2015210468","2","3","1","1","1","1"
"2015210469","1","1","5","2","1","0"
"2015210470","7","3","7","2","1","0"
"2015210471","5","1","3","2","1","0"
"2015210475","6","5","5","1","1","1"
"2015210476","1","1","3","2","1","0"
"2015210477","5","1","5","2","1","0"
"2015210479","5","7","2","2","1","1"
"2015210480","1","1","3","1","1","1"
"2015210482","1","1","2","2","1","0"
"2015210483","1","3","1","2","1","1"
"2015210484","3","1","5","2","1","1"
"2015210485","1","1","2","1","1","0"
"2015210486","1","1","1","2","1","0"
"2015210487","5","2","7","2","1","0"
"2015210488","5","1","5","2","1","0"
"2015210489","1","1","7","1","1","1"
"2015210490","1","1","5","1","1","0"
"2015210491","1","3","3","2","1","0"
"2015210492","5","1","5","2","1","0"
"2015210493","1","1","1","2","1","0"
"2015210494","5","1","5","2","1","0"
"2015210495","5","1","5","2","1","0"
"2015210496","1","1","3","2","1","0"
"2015210497","1","1","1","2","1","0"
"2015210499","1","1","2","1","1","0"
"2015210500","4","1","5","2","1","0"
"2015210501","1","1","7","2","1","0"
"2015210502","5","1","5","2","1","0"
"2015210504","5","1","5","2","1","0"
"2015210507","5","1","5","2","1","1"
"2015210508","5","3","7","2","1","0"
"2015210511","1","1","3","2","1","1"
"2015210512","5","3","3","2","1","0"
"2015210513","5","1","5","2","1","1"
"2015210514","5","1","5","1","1","0"
"2015210515","5","2","5","2","1","0"
"2015210517","2","4","5","2","1","0"
"2015210519","2","1","1","2","1","0"
"2015210520","7","1","6","2","1","0"
"2015210521","5","1","5","2","1","0"
"2015210522","2","1","3","2","1","0"
"2015210523","1","3","5","2","1","0"
"2015210525","5","1","7","2","1","0"
"2015210526","2","1","5","2","1","0"
"2015210529","1","2","5","2","1","0"
"2015210530","7","5","5","2","1","1"
"2015210531","5","2","2","2","1","0"
"2015210532","5","3","2","2","1","1"
"2015210533","1","1","7","2","1","0"
"2015210534","1","1","3","2","1","0"
"2015210535","7","2","5","2","1","0"
"2015210536","2","3","3","2","1","0"
"2015210538","2","1","4","2","1","0"
"2015210539","3","1","6","2","1","1"
"2015210540","1","3","1","2","1","0"
"2015210541","2","2","1","2","1","1"
"2015210542","5","1","5","2","1","0"
"2015210543","1","3","1","2","1","0"
"2015210544","1","1","5","2","1","0"
"2015210545","5","2","5","2","1","0"
"2015210547","1","1","6","2","1","1"
"2015210549","5","1","1","1","1","1"
"2015210550","1","2","7","2","1","0"
"2015210552","5","2","1","2","1","1"
"2015210554","1","2","5","2","1","0"
"2015210555","5","4","1","2","1","1"
"2015210556","5","1","3","2","1","0"
"2015210558","1","6","1","2","1","0"
"2015210559","2","2","7","2","1","0"
"2015210560","5","1","7","2","1","0"
"2015210562","5","1","4","1","1","0"
"2015210563","1","3","1","2","1","0"
"2015210564","5","3","7","2","1","0"
"2015210565","1","1","3","2","1","0"
"2015210566","5","1","5","2","1","0"
"2015210567","5","3","7","2","1","0"
"2015210569","1","1","3","2","1","0"
"2015210570","2","1","3","2","1","0"
"2015210571","5","1","2","1","1","1"
"2015210572","3","3","1","1","1","1"
"2015210573","5","3","1","2","1","0"
"2015210574","5","2","5","2","1","0"
"2015210575","3","1","5","1","1","0"
"2015210577","3","1","1","2","1","0"
"2015210578","1","4","3","1","1","0"
"2015210579","5","1","5","2","1","0"
"2015210580","1","1","7","2","1","1"
"2015210581","5","1","5","2","1","0"
"2015210582","5","1","1","2","1","0"
"2015210584","1","2","7","2","1","1"
"2015210585","5","3","3","2","1","0"
"2015210586","3","3","1","1","1","0"
"2015210587","5","3","5","2","1","0"
"2015210588","5","3","5","2","1","0"
"2015210589","1","1","7","2","1","0"
"2015210590","4","1","5","2","1","0"
"2015210591","1","1","7","1","1","0"
"2015210592","2","1","5","2","1","0"
"2015210593","3","3","1","2","1","0"
"2015210595","5","5","5","2","1","0"
"2015210596","5","1","5","2","1","0"
"2015210598","4","5","7","1","1","0"
"2015210599","1","1","7","1","1","0"
"2015210600","5","4","5","2","1","0"
"2015210601","1","3","1","2","1","1"
"2015210602","5","4","5","2","1","0"
"2015210603","5","4","5","2","1","0"
"2015210604","5","4","7","2","1","0"
"2015210605","2","1","5","1","1","1"
"2015210606","5","1","5","2","1","0"
"2015210607","1","3","5","1","1","0"
"2015210608","1","1","2","1","1","0"
"2015210609","1","1","1","1","1","0"
"2015210611","5","1","3","2","1","0"
"2015210612","2","3","1","2","2","0"
"2015210613","1","1","2","1","1","0"
"2015210614","5","1","5","2","1","0"
"2015210615","5","1","1","1","1","0"
"2015210617","5","2","7","2","1","0"
"2015210618","5","1","5","2","1","0"
"2015210619","5","1","5","2","1","0"
"2015210620","3","3","5","2","1","0"
"2015210621","2","3","5","2","1","0"
"2015210622","4","4","5","1","1","0"
"2015210623","1","2","5","2","1","0"
"2015210624","3","1","7","1","1","0"
"2015210627","2","1","1","2","1","0"
"2015210630","5","2","1","2","1","0"
"2015210631","5","1","7","2","1","1"
"2015210632","1","1","3","2","1","0"
"2015210633","3","3","3","2","1","0"
"2015210634","5","5","7","2","1","0"
"2015210636","1","3","1","2","1","1"
"2015210637","5","5","4","2","1","0"
"2015210639","5","1","5","2","1","1"
"2015210640","5","3","5","2","1","0"
"2015210641","1","1","3","1","1","0"
"2015210642","5","1","5","2","1","0"
"2015210645","1","3","3","2","1","0"
"2015210646","1","4","1","2","1","0"
"2015210647","5","1","5","2","1","0"
"2015210649","5","1","7","2","1","0"
"2015210650","1","1","3","2","1","0"
"2015210652","3","1","3","2","1","0"
"2015210653","3","5","1","1","1","1"
"2015210654","5","1","1","1","1","0"
"2015210655","5","5","7","2","1","0"
"2015210656","1","1","7","1","1","0"
"2015210657","1","1","5","1","1","0"
"2015210658","3","5","5","1","1","0"
"2015210659","5","1","7","2","1","0"
"2015210660","1","1","5","2","1","0"
"2015210661","1","1","1","1","1","0"
"2015210663","5","2","5","2","1","0"
"2015210664","1","1","7","2","1","0"
"2015210665","1","1","1","1","1","1"
"2015210666","5","1","5","2","1","0"
"2015210668","5","2","5","2","2","0"
"2015210670","2","1","5","2","1","0"
"2015210671","5","2","5","2","1","0"
"2015210673","5","2","5","2","1","0"
"2015210674","2","1","5","1","1","0"
"2015210675","5","1","5","2","1","0"
"2015210676","4","1","1","2","1","0"
"2015210677","5","5","7","2","1","0"
"2015210678","5","1","5","1","1","1"
"2015210679","5","1","5","2","1","0"
"2015210680","3","1","1","2","1","1"
"2015210681","5","3","2","2","1","0"
"2015210682","2","3","1","1","1","0"
"2015210683","5","2","5","2","1","0"
"2015210684","3","1","7","2","1","0"
"2015210685","5","4","7","2","1","0"
"2015210686","1","3","1","1","1","1"
"2015210687","1","2","5","2","1","0"
"2015210688","1","4","1","2","1","0"
"2015210689","5","1","5","2","1","0"
"2015210690","1","1","5","2","1","0"
"2015210691","1","3","5","2","1","0"
"2015210693","5","5","7","2","1","1"
"2015210694","5","2","5","2","1","0"
"2015210695","5","1","5","2","1","0"
"2015210696","5","4","7","2","1","0"
"2015210697","5","1","5","2","1","0"
"2015210699","4","2","5","2","1","0"
"2015210700","2","3","7","2","1","0"
"2015210701","5","3","5","2","1","0"
"2015210702","5","2","7","2","1","0"
"2015210704","5","1","3","1","1","0"
"2015210705","5","1","5","2","2","0"
"2015210706","5","2","5","2","1","1"
"2015210707","5","2","5","2","1","0"
"2015210708","1","3","7","2","1","0"
"2015210709","4","3","1","1","1","0"
"2015210710","5","1","5","2","1","0"
"2015210711","2","3","5","2","1","0"
"2015210712","5","1","5","2","1","0"
"2015210714","1","1","5","2","1","1"
"2015210715","5","1","5","2","1","0"
"2015210716","5","1","5","2","1","0"
"2015210718","5","1","7","2","1","0"
"2015210719","5","2","7","2","1","0"
"2015210720","5","3","5","2","1","1"
"2015210721","2","1","1","1","1","0"
"2015210722","1","1","5","2","1","0"
"2015210724","5","1","5","2","1","0"
"2015210725","5","2","7","2","1","0"
"2015210726","3","2","5","1","1","0"
"2015210727","5","1","5","2","1","0"
"2015210728","5","1","1","2","1","0"
"2015210729","5","1","3","2","1","0"
"2015210731","5","1","6","2","1","0"
"2015210732","1","1","1","2","1","0"
"2015210735","5","1","7","2","1","0"
"2015210736","1","3","1","1","1","0"
"2015210737","2","1","5","2","1","0"
"2015210738","5","1","5","2","1","0"
"2015210739","1","1","1","1","1","0"
"2015210740","5","3","5","1","1","0"
"2015210741","4","1","5","2","1","0"
"2015210742","5","6","5","2","1","0"
"2015210745","5","1","1","2","1","0"
"2015210747","1","1","1","1","1","0"
"2015210748","2","1","3","2","1","0"
"2015210749","2","2","3","2","1","0"
"2015210751","5","1","5","2","1","0"
"2015210808","3","3","5","1","1","0"
"2015210825","3","4","7","1","1","1"
"2015210961","1","1","1","2","1","0"
"2015210962","4","1","3","1","1","0"
"2015210963","2","2","3","1","1","0"
"2015210964","1","2","5","2","1","0"
"2015210965","1","1","1","2","1","0"
"2015210966","2","3","5","2","1","1"
"2015210967","1","1","3","2","1","1"
"2015210968","7","2","1","1","1","0"
"2015210970","5","1","5","2","1","1"
"2015210971","2","1","1","2","1","0"
"2015210972","1","1","5","2","1","0"
"2015210974","1","1","5","2","1","1"
"2015210975","2","1","4","2","1","0"
"2015210976","6","1","6","2","1","1"
"2015210978","1","1","3","2","1","0"
"2015210979","1","1","3","2","1","0"
"2015210981","1","1","1","1","1","0"
"2015210982","5","5","5","1","1","1"
"2015210983","5","5","5","1","1","1"
"2015210984","1","3","1","2","1","0"
"2015210985","5","4","1","1","1","0"
"2015210987","2","2","2","1","1","0"
"2015210988","1","1","5","2","1","0"
"2015210989","4","3","3","2","2","0"
"2015210990","2","1","1","2","1","0"
"2015210991","5","4","7","2","1","0"
"2015210992","5","1","2","2","1","0"
"2015210993","3","1","3","2","1","0"
"2015210994","2","1","4","2","1","0"
"2015210996","5","1","5","2","2","1"
"2015210998","1","1","1","2","1","0"
"2015210999","2","1","2","2","1","0"
"2015211000","1","1","5","1","1","1"
"2015211001","1","1","1","2","1","0"
"2015211002","3","1","1","2","1","1"
"2015211003","2","2","1","1","2","0"
"2015211004","1","1","7","2","2","0"
"2015211005","1","2","3","2","1","0"
"2015211006","5","3","1","2","1","0"
"2015211007","5","5","2","1","1","0"
"2015211009","1","3","5","2","1","1"
"2015211010","3","2","5","1","1","0"
"2015211011","1","1","1","2","1","0"
"2015211012","1","1","1","2","1","0"
"2015211013","3","4","1","2","1","0"
"2015211014","5","1","5","2","1","1"
"2015211015","1","2","2","2","1","0"
"2015211016","1","1","5","2","1","0"
"2015211017","5","5","5","1","1","0"
"2015211018","5","1","5","2","1","0"
"2015211020","4","1","7","2","1","0"
"2015211021","5","1","1","2","1","0"
"2015211023","5","2","3","2","1","0"
"2015211025","1","2","3","2","1","0"
"2015211026","4","1","1","2","1","1"
"2015211028","1","2","1","1","1","1"
"2015211034","1","1","2","2","1","0"
"2015211036","7","4","5","2","1","0"
"2015211039","5","2","5","2","1","0"
"2015211040","2","1","1","2","1","0"
"2015211041","1","6","1","1","1","0"
"2015211042","2","1","7","2","1","1"
"2015211045","1","3","1","1","1","0"
"2015211046","5","1","3","2","1","1"
"2015211049","1","3","1","1","1","0"
"2015211050","5","5","5","2","2","0"
"2015211052","7","5","3","1","1","0"
"2015211055","1","1","1","2","1","0"
"2015211056","2","1","3","2","1","0"
"2015211058","5","1","5","2","1","0"
"2015211059","2","3","2","2","1","0"
"2015211060","1","3","1","2","1","1"
"2015211061","5","1","1","2","1","0"
"2015211062","2","1","5","2","1","1"
"2015211063","7","1","3","2","1","0"
"2015211064","7","7","7","1","1","0"
"2015211065","2","1","5","2","1","0"
"2015211066","3","1","1","1","1","0"
"2015211067","5","2","5","2","1","1"
"2015211070","2","1","1","1","1","0"
"2015211072","1","1","5","2","1","0"
"2015211073","1","1","1","2","1","0"
"2015211074","7","3","7","2","1","0"
"2015211075","5","4","5","2","1","0"
"2015211076","1","3","1","1","1","0"
"2015211077","5","3","2","2","1","0"
"2015211079","1","1","1","1","1","0"
"2015211080","1","1","5","1","1","0"
"2015211081","5","2","5","2","1","0"
"2015211083","1","1","1","1","1","0"
"2015211085","1","1","1","1","1","0"
"2015211086","3","3","2","2","1","0"
"2015211087","1","3","7","1","1","1"
"2015211088","5","1","7","2","1","0"
"2015211089","1","1","1","1","1","0"
"2015211091","2","1","5","2","1","0"
"2015211092","2","1","1","2","1","0"
"2015211094","5","3","5","2","1","0"
"2015211095","1","4","1","2","1","0"
"2015211096","1","1","1","1","1","0"
"2015211097","1","1","7","1","1","0"
"2015211099","5","1","5","2","1","0"
"2015211100","1","3","1","2","1","0"
"2015211101","2","2","6","2","1","1"
"2015211103","3","1","1","1","1","1"
"2015211104","5","2","5","2","1","0"
"2015211105","1","4","1","1","1","0"
"2015211106","1","1","7","2","1","0"
"2015211107","1","1","1","1","1","0"
"2015211110","1","1","1","1","1","1"
"2015211111","5","1","5","2","1","0"
"2015211113","1","1","1","1","1","0"
"2015211114","5","1","1","2","1","0"
"2015211118","5","3","5","2","1","1"
"2015211135","1","3","5","1","2","0"
"2015211332","1","2","2","1","2","1"
"2015211334","5","4","5","2","2","0"
"2015211335","5","5","5","2","2","0"
"2015211336","5","3","5","2","2","0"
"2015211337","5","5","7","2","2","0"
"2015211338","2","2","1","2","2","1"
"2015211339","4","3","1","2","2","0"
"2015211340","5","5","5","2","2","0"
"2015211341","5","5","5","2","2","0"
"2015211342","5","1","7","2","2","0"
"2015211344","5","5","5","2","2","0"
"2015211345","2","5","5","2","2","0"
"2015211346","4","2","5","2","2","0"
"2015211347","1","1","3","1","2","0"
"2015211348","5","2","6","2","2","0"
"2015211349","7","4","3","2","2","0"
"2015211350","1","5","2","2","2","1"
"2015211351","5","2","1","2","2","0"
"2015211352","2","5","5","2","2","0"
"2015211353","1","5","5","2","2","0"
"2015211354","1","1","7","2","2","0"
"2015211355","1","1","1","1","2","0"
"2015211356","5","4","5","2","2","0"
"2015211357","1","5","5","2","2","0"
"2015211358","5","5","5","2","2","0"
"2015211359","5","5","7","2","2","0"
"2015211360","5","5","5","2","2","1"
"2015211362","5","2","3","2","2","0"
"2015211363","7","1","2","1","2","0"
"2015211364","3","2","5","1","2","0"
"2015211365","2","2","1","2","2","0"
"2015211366","5","1","1","1","2","0"
"2015211367","5","5","5","2","1","0"
"2015211368","5","5","5","2","2","0"
"2015211369","1","1","4","2","2","0"
"2015211370","5","2","5","2","2","0"
"2015211371","1","5","5","2","2","0"
"2015211373","1","3","2","2","2","0"
"2015211374","1","1","6","2","2","0"
"2015211375","1","1","7","1","2","0"
"2015211376","1","2","1","2","2","0"
"2015211377","1","5","5","2","2","0"
"2015211378","5","5","7","2","2","0"
"2015211380","2","2","1","2","2","1"
"2015211381","4","3","1","2","2","1"
"2015211382","4","5","5","2","2","0"
"2015211383","2","5","5","2","2","0"
"2015211384","2","3","7","2","2","1"
"2015211385","4","5","3","1","2","0"
"2015211386","1","4","5","2","2","0"
"2015211387","5","5","7","2","2","0"
"2015211389","5","5","7","2","2","0"
"2015211390","3","3","3","2","2","0"
"2015211391","2","1","5","1","2","0"
"2015211393","3","5","5","2","2","0"
"2015211394","1","3","5","1","2","0"
"2015211395","5","5","5","2","2","0"
"2015211396","5","5","5","2","2","0"
"2015211397","5","2","7","1","2","0"
"2015211398","5","5","5","2","2","0"
"2015211399","2","3","4","1","2","1"
"2015211400","5","5","7","2","2","0"
"2015211401","5","5","5","2","2","0"
"2015211402","5","4","1","1","2","0"
"2015211403","5","5","5","2","2","0"
"2015211404","2","1","1","2","2","1"
"2015211405","1","2","7","1","2","0"
"2015211406","2","1","1","1","2","0"
"2015211408","1","2","1","2","2","0"
"2015211409","5","7","5","2","2","0"
"2015211410","5","5","7","2","2","0"
"2015211411","1","3","1","1","2","0"
"2015211412","2","5","3","2","2","0"
"2015211413","5","4","7","2","2","0"
"2015211414","5","2","5","2","2","0"
"2015211415","1","2","5","2","2","0"
"2015211416","5","5","5","2","2","0"
"2015211417","3","1","1","1","2","1"
"2015211418","3","1","5","2","2","0"
"2015211419","5","2","2","2","2","0"
"2015211420","5","5","5","2","2","0"
"2015211421","3","5","5","2","2","0"
"2015211422","5","5","5","2","2","0"
"2015211423","1","1","1","1","2","0"
"2015211424","5","4","7","1","2","0"
"2015211427","2","2","2","2","2","0"
"2015211429","5","5","7","2","2","0"
"2015211430","2","5","2","2","2","0"
"2015211431","3","2","1","1","2","0"
"2015211433","5","2","5","2","2","0"
"2015211436","5","2","5","2","2","0"
"2015211437","1","1","6","1","2","0"
"2015211438","5","5","5","2","2","0"
"2015211439","3","1","2","1","2","0"
"2015211440","5","5","5","2","2","1"
"2015211441","5","3","5","1","2","1"
"2015211442","1","2","1","2","2","0"
"2015211443","5","5","7","2","2","0"
"2015211444","5","5","5","2","2","0"
"2015211445","5","2","2","2","1","0"
"2015211446","2","1","1","2","2","0"
"2015211447","2","5","5","2","2","0"
"2015211448","2","5","5","2","2","0"
"2015211449","4","4","7","2","2","0"
"2015211453","5","5","7","2","2","0"
"2015211454","5","5","2","2","2","0"
"2015211455","5","5","5","2","2","0"
"2015211457","5","5","5","2","2","0"
"2015211458","1","1","4","2","2","0"
"2015211459","5","5","5","2","2","0"
"2015211461","5","5","5","2","2","0"
"2015211462","5","3","1","2","2","0"
"2015211463","1","1","3","2","2","0"
"2015211464","5","1","1","2","2","0"
"2015211466","5","1","1","2","2","0"
"2015211467","5","5","5","2","2","0"
"2015211468","1","5","5","2","2","0"
"2015211469","1","5","5","2","2","0"
"2015211470","5","5","5","2","2","0"
"2015211471","1","1","1","2","2","0"
"2015211472","5","2","1","2","2","0"
"2015211473","2","5","5","2","2","0"
"2015211474","1","2","1","2","2","0"
"2015211475","5","4","5","2","2","0"
"2015211476","5","5","7","2","2","0"
"2015211480","5","5","5","2","2","1"
"2015211481","5","2","5","2","2","0"
"2015211482","2","1","1","2","2","1"
"2015211483","2","3","5","1","2","0"
"2015211486","5","5","5","2","2","0"
"2015211487","5","2","3","1","2","0"
"2015211488","2","5","5","2","2","0"
"2015211490","1","1","1","1","2","1"
"2015211492","3","1","2","2","2","0"
"2015211493","5","5","5","2","2","1"
"2015211494","1","1","5","1","2","0"
"2015211495","1","1","1","1","2","0"
"2015211496","5","5","5","2","2","1"
"2015211497","5","5","7","2","2","0"
"2015211498","5","5","7","2","2","0"
"2015211499","1","3","5","1","2","0"
"2015211500","5","5","5","2","2","0"
"2015211502","4","1","5","1","2","0"
"2015211503","1","3","5","1","2","0"
"2015211504","2","2","2","2","2","0"
"2015211505","4","4","5","2","2","0"
"2015211508","1","3","2","1","2","0"
"2015211509","2","5","5","2","2","0"
"2015211510","5","5","5","2","2","0"
"2015211511","5","5","7","2","2","0"
"2015211513","1","4","5","2","2","0"
"2015211514","5","2","5","2","2","0"
"2015211515","7","5","3","2","2","0"
"2015211516","5","3","5","1","2","0"
"2015211517","5","2","2","2","2","0"
"2015211519","2","1","1","2","2","0"
"2015211520","5","2","1","2","2","0"
"2015211521","5","4","5","2","2","0"
"2015211522","1","5","1","1","2","1"
"2015211523","4","3","3","2","2","0"
"2015211524","1","4","7","1","2","0"
"2015211525","2","2","5","2","2","0"
"2015211526","5","5","5","2","2","0"
"2015211527","5","5","5","2","2","0"
"2015211528","7","7","5","1","2","0"
"2015211529","1","3","4","2","2","0"
"2015211530","5","5","1","2","2","0"
"2015211531","2","3","5","1","2","0"
"2015211534","1","1","7","2","1","1"
"2015211535","1","3","7","1","2","1"
"2015211536","1","3","3","2","2","0"
"2015211537","5","5","5","2","2","0"
"2015211538","7","7","5","2","2","0"
"2015211539","1","5","5","2","2","1"
"2015211540","4","2","1","2","2","0"
"2015211541","5","5","4","2","2","0"
"2015211542","5","3","5","2","2","1"
"2015211544","3","2","1","1","2","1"
"2015211547","5","5","5","2","2","0"
"2015211548","5","2","5","1","2","0"
"2015211549","1","1","1","2","2","0"
"2015211550","5","5","5","2","2","0"
"2015211552","1","1","3","1","2","0"
"2015211554","3","4","4","2","2","1"
"2015211555","5","2","5","2","2","1"
"2015211556","3","1","7","1","2","1"
"2015211557","4","2","7","2","2","1"
"2015211558","5","2","5","2","2","0"
"2015211559","1","3","5","2","2","0"
"2015211560","5","5","5","2","2","0"
"2015211561","5","5","5","2","2","0"
"2015211562","4","2","7","2","2","0"
"2015211563","2","1","1","2","2","0"
"2015211564","5","2","7","2","2","0"
"2015211565","5","5","5","2","2","0"
"2015211566","3","1","3","1","2","1"
"2015211568","2","5","5","2","2","0"
"2015211569","5","4","7","1","2","0"
"2015211570","1","1","1","1","2","0"
"2015211571","4","4","5","2","2","0"
"2015211572","4","5","5","2","2","0"
"2015211573","2","5","3","2","2","1"
"2015211574","2","2","3","2","2","0"
"2015211575","2","5","1","2","2","0"
"2015211576","1","1","5","2","2","0"
"2015211577","5","5","5","2","2","0"
